time,Twall,T1,P0,mdot,rho_ue_CH,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,Tw_nr,eps_surf,k_surf,iter,converged,resid_pct,mdot_g,mdot_c,T_24mm
0.0001,301.036,300,200000,-0.840227,0.000287077,2.53515e-05,0,100,0,0.087426,301.036,0.8,0.402688,3,1,-36.7844,0,0,300
0.002,320.634,300.068,200000,-0.0828861,0.00574154,0.00050703,0,100,0,0.087426,320.634,0.8,0.403608,2,1,-1.95464,0,0.000476862,300
0.004,341.081,300.259,200000,-0.0541259,0.0114831,0.00101406,0,100,2.79178e-07,0.0874258,341.081,0.8,0.40457,2,1,-1.04968,3.20583e-09,0.00097882,300
0.006,361.338,300.569,200000,-0.0414427,0.0172246,0.00152108,0,100,7.66279e-07,0.0874254,361.338,0.8,0.405525,2,1,-0.756867,1.31989e-08,0.00148077,300
0.008,381.407,300.995,200000,-0.0338786,0.0229662,0.00202809,0,100,2.01246e-06,0.0874245,381.407,0.8,0.406472,2,1,-0.617793,4.62184e-08,0.00198271,300
0.01,401.285,301.534,200000,-0.028731,0.0287077,0.00253504,0,100,4.92183e-06,0.0874223,401.285,0.8,0.407411,2,1,-0.540787,1.41294e-07,0.0024846,300
0.012,420.973,302.184,200000,-0.0249559,0.0344492,0.00304189,0,100,1.11761e-05,0.0874176,420.973,0.8,0.408343,2,1,-0.495301,3.85007e-07,0.00298638,300
0.014,440.47,302.942,200000,-0.0220498,0.0401907,0.00354851,0,100,2.36607e-05,0.0874089,440.47,0.8,0.409268,2,1,-0.468244,9.50938e-07,0.00348796,300
0.016,459.218,303.806,200000,-0.0197593,0.0459321,0.00405468,0,100,4.6003e-05,0.0873927,459.218,0.8,0.411775,2,1,-0.4517,2.11301e-06,0.00398909,300
0.018,477.505,304.773,200000,-0.0178963,0.0516734,0.00456006,0,100,8.37518e-05,0.0873652,477.505,0.8,0.41468,2,1,-0.442736,4.32773e-06,0.00448946,300
0.02,495.5,305.842,200000,-0.0163453,0.0574144,0.00506422,0,100,0.000144913,0.0873226,495.5,0.8,0.417505,2,1,-0.439537,8.32009e-06,0.00498866,300
0.022,513.216,307.009,200000,-0.015033,0.063155,0.00556644,0,100,0.000239717,0.0872579,513.216,0.8,0.420256,2,1,-0.440708,1.51393e-05,0.00548598,300
0.024,530.668,308.273,200000,-0.0139078,0.068895,0.00606574,0,100,0.000381073,0.0871628,530.668,0.8,0.422937,2,1,-0.445316,2.62539e-05,0.00598045,300
0.026,547.868,309.63,200000,-0.0129323,0.074634,0.00656085,0,100,0.000584716,0.087028,547.868,0.8,0.425552,2,1,-0.452713,4.36395e-05,0.00647087,300
0.028,565.083,311.078,200000,-0.0120729,0.0803713,0.00705035,0,100,0.00087471,0.0868451,565.083,0.800001,0.427638,2,1,-0.463097,7.03011e-05,0.00695581,300
0.03,582.379,312.615,200000,-0.0113087,0.086106,0.00753165,0,100,0.00128211,0.0865948,582.379,0.800001,0.429176,2,1,-0.476316,0.000110397,0.0074327,300
0.032,599.478,314.239,200000,-0.0106297,0.0918374,0.0080024,0,100,0.00183045,0.0862652,599.478,0.800002,0.430691,2,1,-0.491414,0.000168101,0.0078994,300
0.034,616.354,315.946,200000,-0.010023,0.097563,0.00846199,0,100,0.00255037,0.0858663,616.354,0.800003,0.432183,2,1,-0.508162,0.000248818,0.00835501,300
0.036,633.018,317.734,200000,-0.00947774,0.103281,0.00890659,0,100,0.00347644,0.0853737,633.018,0.800004,0.433654,2,1,-0.526401,0.000359045,0.00879582,300
0.038,649.612,319.601,200000,-0.0089834,0.10899,0.00933196,0,100,0.00465552,0.0847658,649.612,0.800006,0.434897,3,1,-0.546418,0.000507408,0.0092183,300
0.04,666.269,321.543,200000,-0.0085316,0.114683,0.00974,0,100,0.00615739,0.0840804,666.269,0.800008,0.435612,3,1,-0.56869,0.000706153,0.00962311,300
0.042,682.665,323.558,200000,-0.00812098,0.120358,0.0101256,0,100,0.00799699,0.0832874,682.665,0.800012,0.436321,3,1,-0.592152,0.000962513,0.0100055,300
0.044,698.777,325.642,200000,-0.00774667,0.126013,0.0104864,0,100,0.0102084,0.0823847,698.777,0.800017,0.437022,3,1,-0.616669,0.0012864,0.0103646,300
0.046,714.411,327.791,200000,-0.00740629,0.131635,0.0108374,0,100,0.0127933,0.0815062,714.411,0.800024,0.437708,3,1,-0.641868,0.00168407,0.0107125,300
0.048,729.679,330.002,200000,-0.00709467,0.137227,0.0111642,0,100,0.0157917,0.0805421,729.679,0.800032,0.438383,3,1,-0.667788,0.00216708,0.0110357,300
0.05,744.418,332.27,200000,-0.00681004,0.14278,0.0114824,0,100,0.0191692,0.079616,744.418,0.800043,0.439041,3,1,-0.694074,0.00273702,0.0113528,300
0.052,758.531,334.592,200000,-0.00655018,0.148281,0.0118149,0,100,0.0229027,0.0788827,758.531,0.800057,0.439679,3,1,-0.72044,0.00339608,0.0116797,300
0.054,772.142,336.961,200000,-0.00631134,0.153738,0.01214,0,100,0.0269926,0.0781757,772.142,0.800074,0.440299,3,1,-0.746963,0.00414987,0.0120034,300
0.056,784.957,339.375,200000,-0.00609362,0.159142,0.0124907,0,100,0.0313156,0.0777025,784.957,0.800094,0.440894,3,1,-0.773014,0.00498374,0.0123483,300
0.058,797.32,341.827,200000,-0.00589221,0.164507,0.0128277,0,100,0.0359422,0.0771967,797.32,0.800118,0.441474,3,1,-0.799071,0.00591286,0.0126835,300
0.06,808.826,344.313,200000,-0.00570841,0.169815,0.0132108,0,100,0.0406636,0.0770174,808.826,0.800147,0.442025,3,1,-0.824287,0.00690546,0.0130582,300
0.062,819.81,346.829,200000,-0.00553819,0.175076,0.0136136,0,100,0.045547,0.0769808,819.81,0.80018,0.442557,3,1,-0.849163,0.0079744,0.0134581,300
0.064,830.131,349.37,200000,-0.00538125,0.180293,0.0140443,0,100,0.0504921,0.0771179,830.131,0.800218,0.443068,3,1,-0.873329,0.00910361,0.0138804,300
0.066,839.746,351.931,200000,-0.00523663,0.185474,0.0145102,0,100,0.055359,0.0774505,839.746,0.800261,0.443681,3,1,-0.896354,0.0102679,0.0143423,300
0.068,849.007,354.511,200000,-0.0051011,0.190628,0.014963,0,100,0.0603407,0.0777084,849.007,0.800309,0.444343,3,1,-0.918983,0.0115029,0.0147913,300
0.07,857.486,357.105,200000,-0.0049765,0.195741,0.0154906,0,100,0.0650913,0.0783471,857.486,0.800363,0.444962,3,1,-0.9404,0.0127414,0.0153091,300
0.072,865.611,359.711,200000,-0.00485945,0.200828,0.0160248,0,100,0.0698357,0.0789959,865.611,0.800422,0.44556,3,1,-0.961423,0.0140254,0.0158383,300
0.074,873.418,362.324,200000,-0.00474922,0.205886,0.0165711,0,100,0.0745953,0.0796821,873.418,0.800487,0.44614,4,1,-0.982074,0.0153581,0.0163785,300
0.076,880.65,364.945,200000,-0.00464666,0.210915,0.0171775,0,100,0.0791108,0.0806283,880.65,0.800559,0.446689,4,1,-1.00177,0.0166856,0.0169748,300
0.078,887.55,367.568,200000,-0.00454998,0.215924,0.0178019,0,100,0.0835201,0.0816209,887.55,0.800636,0.447219,4,1,-1.02097,0.018034,0.017593,300
0.08,894.203,370.193,200000,-0.00445832,0.220916,0.018427,0,100,0.0878964,0.0825776,894.203,0.800719,0.447734,4,1,-1.03983,0.0194177,0.0182118,300
0.082,900.601,372.818,200000,-0.0043714,0.225891,0.0190577,0,100,0.0922177,0.0835233,900.601,0.800808,0.448236,4,1,-1.05832,0.0208311,0.0188333,300
0.084,906.603,375.441,200000,-0.0042896,0.230846,0.0197416,0,100,0.0962854,0.0846635,906.603,0.800903,0.448715,4,1,-1.07607,0.0222271,0.0195103,300
0.086,912.393,378.061,200000,-0.00421172,0.235788,0.020431,0,100,0.10028,0.0857833,912.393,0.801005,0.449182,4,1,-1.09349,0.0236447,0.0201919,300
0.088,917.959,380.677,200000,-0.0041376,0.240715,0.021137,0,100,0.104166,0.0869312,917.959,0.801113,0.449636,4,1,-1.11052,0.0250744,0.0208906,300
0.09,923.336,383.287,200000,-0.00406684,0.245632,0.0218479,0,100,0.107967,0.0880562,923.336,0.801228,0.450079,4,1,-1.12722,0.0265202,0.0215941,300
0.092,928.519,385.891,200000,-0.00399928,0.250536,0.0225756,0,100,0.111665,0.0892083,928.519,0.801349,0.450511,4,1,-1.14357,0.0279761,0.0223135,300
0.094,933.525,388.488,200000,-0.00393467,0.255429,0.0233151,0,100,0.115261,0.0903656,933.525,0.801476,0.450932,4,1,-1.15959,0.0294409,0.0230452,300
0.096,938.367,391.077,200000,-0.00387279,0.260314,0.0240614,0,100,0.118759,0.0915078,938.367,0.80161,0.451345,4,1,-1.17529,0.0309145,0.0237836,300
0.098,943.053,393.658,200000,-0.00381346,0.265192,0.0248147,0,100,0.122155,0.0926368,943.053,0.80175,0.451747,4,1,-1.19069,0.0323946,0.0245291,300
0.1,947.591,396.229,200000,-0.00375653,0.270064,0.0255755,0,100,0.125448,0.0937543,947.591,0.801897,0.452142,4,1,-1.20578,0.0338791,0.0252819,300
0.102,948.35,398.779,200000,-0.00371638,0.269978,0.0256235,0,100,0.125947,0.0939606,948.35,0.802048,0.452338,3,1,-1.21168,0.0340034,0.0253636,300
0.104,949.127,401.3,200000,-0.00367734,0.269908,0.0256973,0,100,0.126204,0.0942552,949.127,0.802198,0.452523,3,1,-1.21763,0.0340638,0.0254366,300
0.106,949.895,403.791,200000,-0.00363942,0.269841,0.0257711,0,100,0.126448,0.0945499,949.895,0.802349,0.452706,3,1,-1.2235,0.0341213,0.0255097,300
0.108,950.676,406.253,200000,-0.00360248,0.269773,0.0258412,0,100,0.12671,0.0948311,950.676,0.802501,0.452888,3,1,-1.22945,0.0341831,0.0255794,300
0.11,951.451,408.687,200000,-0.00356656,0.269705,0.0259107,0,100,0.126965,0.0951098,951.451,0.802652,0.453068,3,1,-1.23532,0.0342437,0.0256482,300
0.112,952.218,411.094,200000,-0.0035316,0.26964,0.0259804,0,100,0.12721,0.0953886,952.218,0.802804,0.453246,3,1,-1.24115,0.0343014,0.0257171,300
0.114,952.978,413.474,200000,-0.00349758,0.269575,0.0260501,0,100,0.127445,0.0956675,952.978,0.802956,0.453422,3,1,-1.24693,0.0343564,0.0257861,300
0.116,953.729,415.827,200000,-0.00346444,0.269512,0.0261199,0,100,0.127669,0.0959464,953.729,0.803108,0.453596,3,1,-1.25268,0.0344087,0.0258553,300
0.118,954.474,418.155,200000,-0.00343215,0.26945,0.0261898,0,100,0.127883,0.0962254,954.474,0.803261,0.453769,3,1,-1.25838,0.0344585,0.0259245,300
