time,Twall,T1,P0,mdot,heff,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,L_nr,eps_surf,k_surf,iter
1,2300,1347.58,101325,nan,nan,1.27,1.27,79998.7,0,0.087426,1,0.8,60,2
20,2300,2019.26,101325,nan,nan,1.27,25.4,79974.6,0,0.087426,1,0.8,60,2
40,2300,2059.16,101325,nan,nan,1.27,50.8,79949.2,0,0.087426,1,0.8,60,2
60,2300,2074.42,101325,nan,nan,1.27,76.2,79923.8,0,0.087426,1,0.8,60,2
80,2300,2082.37,101325,nan,nan,1.27,101.6,79898.4,0,0.087426,1,0.8,60,2
100,2300,2087.13,101325,nan,nan,1.27,127,79873,0,0.087426,1,0.8,60,2
120,2300,2090.22,101325,nan,nan,1.27,152.4,79847.6,0,0.087426,1,0.8,60,2
140,2300,2092.34,101325,nan,nan,1.27,177.8,79822.2,0,0.087426,1,0.8,60,2
160,2300,2093.85,101325,nan,nan,1.27,203.2,79796.8,0,0.087426,1,0.8,60,2
180,2300,2094.96,101325,nan,nan,1.27,228.6,79771.4,0,0.087426,1,0.8,60,2
200,2300,2095.79,101325,nan,nan,1.27,254,79746,0,0.087426,1,0.8,60,2
220,2300,2096.43,101325,nan,nan,1.27,279.4,79720.6,0,0.087426,1,0.8,60,2
240,2300,2096.93,101325,nan,nan,1.27,304.8,79695.2,0,0.087426,1,0.8,60,2
260,2300,2097.33,101325,nan,nan,1.27,330.2,79669.8,0,0.087426,1,0.8,60,2
280,2300,2097.65,101325,nan,nan,1.27,355.6,79644.4,0,0.087426,1,0.8,60,2
300,2300,2097.91,101325,nan,nan,1.27,381,79619,0,0.087426,1,0.8,60,2
320,2300,2098.13,101325,nan,nan,1.27,406.4,79593.6,0,0.087426,1,0.8,60,2
340,2300,2098.31,101325,nan,nan,1.27,431.8,79568.2,0,0.087426,1,0.8,60,2
360,2300,2098.46,101325,nan,nan,1.27,457.2,79542.8,0,0.087426,1,0.8,60,2
380,2300,2098.59,101325,nan,nan,1.27,482.6,79517.4,0,0.087426,1,0.8,60,2
400,2300,2098.71,101325,nan,nan,1.27,508,79492,0,0.087426,1,0.8,60,2
