x[m], T[K]
0.254,2300
0.257987,2095.75
0.261975,1953.79
0.265962,1822.88
0.26995,1702.19
0.273937,1590.92
0.277925,1488.34
0.281912,1393.77
0.2859,1306.61
0.289887,1226.27
0.293875,1152.22
0.297862,1083.99
0.30185,1021.11
0.305837,963.176
0.309825,909.801
0.313812,860.632
0.3178,815.342
0.321787,773.63
0.325775,735.217
0.329762,699.847
0.33375,667.284
0.337737,637.308
0.341725,609.717
0.345712,584.326
0.3497,560.963
0.353687,539.469
0.357675,519.697
0.361662,501.513
0.36565,484.793
0.369637,469.42
0.373625,455.289
0.377612,442.302
0.3816,430.37
0.385587,419.407
0.389575,409.339
0.393562,400.093
0.39755,391.604
0.401537,383.813
0.405525,376.663
0.409512,370.103
0.4135,364.086
0.417487,358.569
0.421475,353.511
0.425462,348.875
0.42945,344.627
0.433437,340.736
0.437425,337.172
0.441412,333.909
0.4454,330.923
0.449387,328.191
0.453375,325.691
0.457362,323.406
0.46135,321.316
0.465337,319.407
0.469325,317.662
0.473312,316.068
0.4773,314.614
0.481287,313.286
0.485275,312.074
0.489262,310.969
0.49325,309.962
0.497237,309.043
0.501225,308.206
0.505212,307.444
0.5092,306.75
0.513187,306.119
0.517175,305.544
0.521162,305.021
0.52515,304.546
0.529137,304.114
0.533125,303.722
0.537112,303.366
0.5411,303.042
0.545087,302.749
0.549075,302.483
0.553062,302.242
0.55705,302.023
0.561037,301.825
0.565025,301.645
0.569012,301.483
0.573,301.336
0.576987,301.203
0.580975,301.083
0.584962,300.975
0.58895,300.876
0.592937,300.788
0.596925,300.708
0.600912,300.636
0.6049,300.571
0.608887,300.512
0.612875,300.46
0.616862,300.412
0.62085,300.369
0.624837,300.331
0.628825,300.296
0.632812,300.265
0.6368,300.237
0.640787,300.212
0.644775,300.19
0.648762,300.169
0.65275,300.151
0.656737,300.135
0.660725,300.12
0.664712,300.107
0.6687,300.096
0.672687,300.085
0.676675,300.076
0.680662,300.068
0.68465,300.06
0.688637,300.053
0.692625,300.048
0.696612,300.042
0.7006,300.038
0.704587,300.033
0.708575,300.03
0.712562,300.026
0.71655,300.023
0.720537,300.021
0.724525,300.018
0.728512,300.016
0.7325,300.014
0.736487,300.013
0.740475,300.011
0.744462,300.01
