time,x_char_[m],x_pyro_[m]
0.1,0,0
0.2,0,0.000363194
0.3,0,0.00055847
0.4,0,0.000710578
0.5,0,0.000841918
0.6,0,0.000959931
0.7,0,0.00106885
0.8,0,0.0011695
0.9,0,0.00126374
1,0,0.00135216
1.1,0,0.00143859
1.2,0,0.00152065
1.3,0,0.00159783
1.4,0,0.00167485
1.5,0,0.00174684
1.6,0,0.00181875
1.7,0,0.00188738
1.8,0,0.0019536
1.9,0,0.00201982
2,0,0.00208342
2.1,0,0.00214493
2.2,0,0.0022058
2.3,0,0.00226596
2.4,0,0.00232452
2.5,0,0.00238171
2.6,0,0.00243772
2.7,0,0.00249266
2.8,0,0.00254667
2.9,0,0.00259981
3,0,0.00265259
3.1,0,0.00270451
3.2,0,0.0027556
3.3,0,0.00280591
3.4,0,0.00285548
3.5,0,0.00290433
3.6,0,0.0029525
3.7,0,0.00300001
3.8,0,0.00304732
3.9,0,0.00309407
4,0,0.00314027
4.1,0,0.00318591
4.2,0,0.00323099
4.3,0,0.00327551
4.4,0,0.00331946
4.5,0,0.00336283
4.6,0,0.00340562
4.7,0,0.0034481
4.8,0,0.00349079
4.9,0,0.00353293
5,0,0.0035745
5.1,0,0.00361548
5.2,4.50963e-06,0.00365584
5.3,1.20106e-05,0.00369615
5.4,1.95793e-05,0.00373663
5.5,2.72139e-05,0.00377651
5.6,3.49125e-05,0.00381577
5.7,4.26733e-05,0.0038544
5.8,5.04782e-05,0.00389329
5.9,5.81009e-05,0.00393211
6,6.57864e-05,0.0039703
6.1,7.35331e-05,0.00400782
6.2,8.13394e-05,0.00404528
6.3,8.92037e-05,0.00408304
6.4,9.71246e-05,0.00412013
6.5,0.000104894,0.00415652
6.6,0.000112605,0.00419309
6.7,0.000120372,0.00422974
6.8,0.000128195,0.00426569
6.9,0.000136073,0.0043009
7,0.000144003,0.004337
7.1,0.000151897,0.00437249
7.2,0.000159574,0.00440723
7.3,0.000167305,0.00444216
7.4,0.000175089,0.00447717
7.5,0.000182923,0.00451141
7.6,0.000190808,0.00454542
7.7,0.000198741,0.00457992
7.8,0.000206411,0.00461364
7.9,0.000214073,0.00464692
8,0.000221784,0.00468088
8.1,0.000229544,0.00471405
8.2,0.000237352,0.00474676
8.3,0.000245206,0.00478017
8.4,0.000252959,0.00481275
8.5,0.000260531,0.00484504
8.6,0.00026815,0.00487785
8.7,0.000275815,0.00490981
8.8,0.000283526,0.00494182
8.9,0.000291281,0.00497399
9,0.00029908,0.0050053
9.1,0.000306593,0.00503713
9.2,0.000314107,0.00506863
9.3,0.000321665,0.00509931
9.4,0.000329266,0.005131
9.5,0.00033691,0.00516179
9.6,0.000344596,0.00519248
9.7,0.000352212,0.00522344
9.8,0.000359612,0.00525348
9.9,0.000367054,0.00528425
10,0.000374538,0.00531445
10.1,0.000382063,0.00534431
10.2,0.000389629,0.00537464
10.3,0.000397234,0.00540404
10.4,0.000404647,0.00543411
10.5,0.000411969,0.00546363
10.6,0.000419331,0.0054929
10.7,0.000426732,0.00552253
10.8,0.000434173,0.00555118
10.9,0.000441651,0.00558079
11,0.000449167,0.00560954
11.1,0.000456405,0.00563845
11.2,0.000463643,0.00566728
11.3,0.000470918,0.00569555
11.4,0.000478231,0.00572444
11.5,0.00048558,0.00575234
11.6,0.000492967,0.00578107
11.7,0.000500371,0.00580902
11.8,0.000507482,0.00583718
11.9,0.000514629,0.00586517
12,0.000521813,0.00589281
12.1,0.000529033,0.00592082
12.2,0.000536288,0.00594799
12.3,0.000543578,0.005976
12.4,0.00055086,0.00600299
12.5,0.00055788,0.00603074
12.6,0.000564934,0.00605773
12.7,0.000572024,0.00608505
12.8,0.000579147,0.00611202
12.9,0.000586305,0.00613895
13,0.000593495,0.0061659
13.1,0.000600686,0.00619247
13.2,0.000607612,0.00621937
13.3,0.000614571,0.00624561
13.4,0.000621563,0.00627245
13.5,0.000628588,0.00629838
13.6,0.000635646,0.00632517
13.7,0.000642736,0.00635089
13.8,0.000649858,0.00637752
13.9,0.000656694,0.00640316
14,0.000663556,0.00642953
14.1,0.00067045,0.00645509
14.2,0.000677375,0.0064812
14.3,0.000684332,0.00650666
14.4,0.00069132,0.00653254
14.5,0.000698338,0.0065579
14.6,0.000705146,0.00658357
14.7,0.00071191,0.0066088
14.8,0.000718704,0.00663428
14.9,0.00072553,0.00665939
15,0.000732385,0.0066847
15.1,0.00073927,0.00670967
15.2,0.000746184,0.00673481
15.3,0.00075299,0.00675964
15.4,0.000759655,0.00678464
15.5,0.000766351,0.0068093
15.6,0.000773075,0.00683417
15.7,0.000779829,0.00685868
15.8,0.000786611,0.00688343
15.9,0.000793422,0.00690776
16,0.000800249,0.00693241
16.1,0.000806816,0.00695656
16.2,0.000813412,0.00698112
16.3,0.000820036,0.00700507
16.4,0.000826689,0.00702955
16.5,0.000833368,0.0070533
16.6,0.000840076,0.00707772
16.7,0.00084681,0.00710126
16.8,0.000853418,0.00712563
16.9,0.000859914,0.00714903
17,0.000866439,0.00717327
17.1,0.00087299,0.00719663
17.2,0.000879568,0.00722065
17.3,0.000886172,0.00724399
17.4,0.000892803,0.00726776
17.5,0.00089946,0.00729109
17.6,0.000905882,0.00731462
17.7,0.000912306,0.00733795
17.8,0.000918757,0.00736122
17.9,0.000925234,0.00738455
18,0.000931737,0.00740757
18.1,0.000938265,0.00743091
18.2,0.000944818,0.00745365
18.3,0.000951338,0.00747701
18.4,0.000957664,0.00749952
18.5,0.000964015,0.00752287
18.6,0.000970392,0.00754541
18.7,0.000976793,0.00756848
18.8,0.000983219,0.00759106
18.9,0.00098967,0.00761383
19,0.000996146,0.00763646
19.1,0.00100253,0.00765894
19.2,0.00100879,0.00768162
19.3,0.00101506,0.00770379
19.4,0.00102137,0.00772654
19.5,0.00102769,0.0077485
19.6,0.00103404,0.00777121
19.7,0.00104041,0.00779324
19.8,0.00104681,0.00781563
19.9,0.0010531,0.00783774
20,0.00105928,0.00785979
20.1,0.00106548,0.007882
20.2,0.0010717,0.00790371
20.3,0.00107795,0.00792601
20.4,0.00108423,0.00794756
20.5,0.00109052,0.00796977
20.6,0.00109684,0.00799142
20.7,0.00110305,0.00801328
20.8,0.00110915,0.00803504
20.9,0.00111528,0.00805654
21,0.00112143,0.00807841
21.1,0.0011276,0.00809958
21.2,0.0011338,0.00812154
21.3,0.00114002,0.00814282
21.4,0.00114625,0.00816441
21.5,0.00115241,0.00818582
21.6,0.00115844,0.00820703
21.7,0.0011645,0.00822857
21.8,0.00117057,0.00824943
21.9,0.00117666,0.00827106
22,0.00118278,0.00829206
22.1,0.00118892,0.0083133
22.2,0.00119508,0.00833444
22.3,0.00120121,0.00835529
22.4,0.00120717,0.00837657
22.5,0.00121314,0.0083972
22.6,0.00121914,0.00841844
22.7,0.00122516,0.00843923
22.8,0.0012312,0.00846005
22.9,0.00123726,0.00848099
23,0.00124334,0.0085014
23.1,0.00124944,0.0085225
23.2,0.00125535,0.00854298
23.3,0.00126125,0.00856375
23.4,0.00126717,0.00858439
23.5,0.00127311,0.00860473
23.6,0.00127907,0.00862554
23.7,0.00128506,0.00864574
23.8,0.00129106,0.00866643
23.9,0.00129708,0.0086868
24,0.001303,0.00870705
24.1,0.00130883,0.0087276
24.2,0.00131468,0.00874756
24.3,0.00132054,0.00876812
24.4,0.00132643,0.00878827
24.5,0.00133233,0.00880838
24.6,0.00133826,0.00882871
24.7,0.0013442,0.00884847
24.8,0.00135016,0.00886888
24.9,0.00135591,0.00888882
25,0.00136168,0.00890877
25.1,0.00136747,0.0089289
25.2,0.00137328,0.00894849
25.3,0.00137911,0.00896872
25.4,0.00138496,0.00898849
25.5,0.00139083,0.00900825
25.6,0.00139671,0.00902822
25.7,0.00140252,0.00904765
25.8,0.00140821,0.00906767
25.9,0.00141393,0.0090873
26,0.00141966,0.00910683
26.1,0.00142541,0.00912667
26.2,0.00143118,0.00914598
26.3,0.00143697,0.00916575
26.4,0.00144278,0.00918527
26.5,0.00144861,0.00920455
26.6,0.00145428,0.00922427
26.7,0.00145992,0.00924348
26.8,0.00146558,0.00926299
26.9,0.00147126,0.00928241
27,0.00147695,0.00930141
27.1,0.00148266,0.00932105
27.2,0.00148839,0.00934018
27.3,0.00149414,0.00935939
27.4,0.0014999,0.00937874
27.5,0.00150547,0.0093976
27.6,0.00151106,0.00941701
27.7,0.00151666,0.00943608
27.8,0.00152228,0.00945498
27.9,0.00152791,0.00947427
28,0.00153357,0.00949308
28.1,0.00153924,0.00951216
28.2,0.00154493,0.0095312
28.3,0.00155061,0.00954976
28.4,0.00155612,0.00956901
28.5,0.00156164,0.0095878
28.6,0.00156719,0.00960652
28.7,0.00157275,0.00962553
28.8,0.00157832,0.00964409
28.9,0.00158392,0.00966296
29,0.00158953,0.00968174
29.1,0.00159516,0.00970008
29.2,0.00160077,0.00971909
29.3,0.00160622,0.00973765
29.4,0.00161169,0.00975613
29.5,0.00161718,0.00977492
29.6,0.00162268,0.00979326
29.7,0.0016282,0.00981187
29.8,0.00163374,0.00983045
29.9,0.00163929,0.0098486
30,0.00164485,0.00986733
30.1,0.00165042,0.0098857
30.2,0.00165582,0.00990388
30.3,0.00166123,0.0099225
30.4,0.00166666,0.00994068
30.5,0.0016721,0.00995897
30.6,0.00167756,0.00997739
30.7,0.00168304,0.0099954
30.8,0.00168853,0.0100138
30.9,0.00169404,0.010032
31,0.00169956,0.0100499
31.1,0.00170491,0.0100683
31.2,0.00171027,0.0100864
31.3,0.00171564,0.0101043
