t [s],x [m],T [K]
0.1,0.004,300.037
0.2,0.004,300.223
0.3,0.004,300.736
0.4,0.004,301.776
0.5,0.004,303.513
0.6,0.004,306.058
0.7,0.004,309.457
0.8,0.004,313.702
0.9,0.004,318.744
1,0.004,324.511
1.1,0.004,330.918
1.2,0.004,337.877
1.3,0.004,345.305
1.4,0.004,353.122
1.5,0.004,361.257
1.6,0.004,369.645
1.7,0.004,378.231
1.8,0.004,386.967
1.9,0.004,395.811
2,0.004,404.726
2.1,0.004,413.682
2.2,0.004,422.652
2.3,0.004,431.613
2.4,0.004,440.549
2.5,0.004,449.442
2.6,0.004,458.269
2.7,0.004,466.986
2.8,0.004,475.579
2.9,0.004,484.037
3,0.004,492.356
3.1,0.004,500.529
3.2,0.004,508.555
3.3,0.004,516.429
3.4,0.004,524.152
3.5,0.004,531.723
3.6,0.004,539.143
3.7,0.004,546.412
3.8,0.004,553.533
3.9,0.004,560.508
4,0.004,567.342
4.1,0.004,574.045
4.2,0.004,580.622
4.3,0.004,587.074
4.4,0.004,593.404
4.5,0.004,599.613
4.6,0.004,605.704
4.7,0.004,611.678
4.8,0.004,617.538
4.9,0.004,623.287
5,0.004,628.927
5.1,0.004,634.459
5.2,0.004,639.886
5.3,0.004,645.211
5.4,0.004,650.437
5.5,0.004,655.567
5.6,0.004,660.608
5.7,0.004,665.559
5.8,0.004,670.423
5.9,0.004,675.203
6,0.004,679.898
6.1,0.004,684.512
6.2,0.004,689.045
6.3,0.004,693.5
6.4,0.004,697.877
6.5,0.004,702.179
6.6,0.004,706.408
6.7,0.004,710.565
6.8,0.004,714.653
6.9,0.004,718.673
7,0.004,722.628
7.1,0.004,726.518
7.2,0.004,730.345
7.3,0.004,734.11
7.4,0.004,737.816
7.5,0.004,741.463
7.6,0.004,745.052
7.7,0.004,748.586
7.8,0.004,752.065
7.9,0.004,755.491
8,0.004,758.866
8.1,0.004,762.189
8.2,0.004,765.464
8.3,0.004,768.69
8.4,0.004,771.869
8.5,0.004,775.004
8.6,0.004,778.093
8.7,0.004,781.139
8.8,0.004,784.143
8.9,0.004,787.105
9,0.004,790.028
9.1,0.004,792.911
9.2,0.004,795.757
9.3,0.004,798.564
9.4,0.004,801.336
9.5,0.004,804.075
9.6,0.004,806.781
9.7,0.004,809.455
9.8,0.004,812.101
9.9,0.004,814.718
10,0.004,817.307
10.1,0.004,819.869
10.2,0.004,822.403
10.3,0.004,824.913
10.4,0.004,827.397
10.5,0.004,829.856
10.6,0.004,832.292
10.7,0.004,834.703
10.8,0.004,837.092
10.9,0.004,839.458
11,0.004,841.801
11.1,0.004,844.122
11.2,0.004,846.422
11.3,0.004,848.701
11.4,0.004,850.959
11.5,0.004,853.197
11.6,0.004,855.416
11.7,0.004,857.615
11.8,0.004,859.795
11.9,0.004,861.957
12,0.004,864.1
12.1,0.004,866.225
12.2,0.004,868.333
12.3,0.004,870.424
12.4,0.004,872.498
12.5,0.004,874.555
12.6,0.004,876.597
12.7,0.004,878.622
12.8,0.004,880.631
12.9,0.004,882.625
13,0.004,884.604
13.1,0.004,886.568
13.2,0.004,888.517
13.3,0.004,890.452
13.4,0.004,892.373
13.5,0.004,894.28
13.6,0.004,896.173
13.7,0.004,898.053
13.8,0.004,899.919
13.9,0.004,901.772
14,0.004,903.611
14.1,0.004,905.436
14.2,0.004,907.248
14.3,0.004,909.047
14.4,0.004,910.831
14.5,0.004,912.602
14.6,0.004,914.361
14.7,0.004,916.107
14.8,0.004,917.839
14.9,0.004,919.559
15,0.004,921.268
15.1,0.004,922.964
15.2,0.004,924.648
15.3,0.004,926.321
15.4,0.004,927.983
15.5,0.004,929.632
15.6,0.004,931.27
15.7,0.004,932.898
15.8,0.004,934.516
15.9,0.004,936.122
16,0.004,937.717
16.1,0.004,939.303
16.2,0.004,940.879
16.3,0.004,942.444
16.4,0.004,943.998
16.5,0.004,945.544
16.6,0.004,947.081
16.7,0.004,948.607
16.8,0.004,950.124
16.9,0.004,951.632
17,0.004,953.131
17.1,0.004,954.621
17.2,0.004,956.102
17.3,0.004,957.574
17.4,0.004,959.038
17.5,0.004,960.493
17.6,0.004,961.941
17.7,0.004,963.379
17.8,0.004,964.81
17.9,0.004,966.231
18,0.004,967.646
18.1,0.004,969.053
18.2,0.004,970.452
18.3,0.004,971.843
18.4,0.004,973.226
18.5,0.004,974.602
18.6,0.004,975.971
18.7,0.004,977.332
18.8,0.004,978.686
18.9,0.004,980.032
19,0.004,981.371
19.1,0.004,982.705
19.2,0.004,984.031
19.3,0.004,985.349
19.4,0.004,986.66
19.5,0.004,987.965
19.6,0.004,989.265
19.7,0.004,990.557
19.8,0.004,991.842
19.9,0.004,993.121
20,0.004,994.392
20.1,0.004,995.659
20.2,0.004,996.92
20.3,0.004,998.173
20.4,0.004,999.42
20.5,0.004,1000.66
20.6,0.004,1001.89
20.7,0.004,1003.12
20.8,0.004,1004.34
20.9,0.004,1005.56
21,0.004,1006.76
21.1,0.004,1007.96
21.2,0.004,1009.16
21.3,0.004,1010.34
21.4,0.004,1011.52
21.5,0.004,1012.69
21.6,0.004,1013.86
21.7,0.004,1015.02
21.8,0.004,1016.17
21.9,0.004,1017.32
22,0.004,1018.46
22.1,0.004,1019.59
22.2,0.004,1020.72
22.3,0.004,1021.84
22.4,0.004,1022.96
22.5,0.004,1024.07
22.6,0.004,1025.17
22.7,0.004,1026.27
22.8,0.004,1027.36
22.9,0.004,1028.45
23,0.004,1029.53
23.1,0.004,1030.6
23.2,0.004,1031.67
23.3,0.004,1032.73
23.4,0.004,1033.79
23.5,0.004,1034.84
23.6,0.004,1035.89
23.7,0.004,1036.93
23.8,0.004,1037.96
23.9,0.004,1038.99
24,0.004,1040.02
24.1,0.004,1041.04
24.2,0.004,1042.05
24.3,0.004,1043.06
24.4,0.004,1044.07
24.5,0.004,1045.07
24.6,0.004,1046.06
24.7,0.004,1047.05
24.8,0.004,1048.03
24.9,0.004,1049.01
25,0.004,1049.98
25.1,0.004,1050.95
25.2,0.004,1051.92
25.3,0.004,1052.88
25.4,0.004,1053.83
25.5,0.004,1054.78
25.6,0.004,1055.73
25.7,0.004,1056.67
25.8,0.004,1057.61
25.9,0.004,1058.54
26,0.004,1059.46
26.1,0.004,1060.39
26.2,0.004,1061.3
26.3,0.004,1062.22
26.4,0.004,1063.13
26.5,0.004,1064.03
26.6,0.004,1064.93
26.7,0.004,1065.83
26.8,0.004,1066.72
26.9,0.004,1067.61
27,0.004,1068.5
27.1,0.004,1069.38
27.2,0.004,1070.25
27.3,0.004,1071.12
27.4,0.004,1071.99
27.5,0.004,1072.86
27.6,0.004,1073.72
27.7,0.004,1074.57
27.8,0.004,1075.42
27.9,0.004,1076.27
28,0.004,1077.11
28.1,0.004,1077.95
28.2,0.004,1078.79
28.3,0.004,1079.62
28.4,0.004,1080.45
28.5,0.004,1081.28
28.6,0.004,1082.1
28.7,0.004,1082.92
28.8,0.004,1083.73
28.9,0.004,1084.54
29,0.004,1085.35
29.1,0.004,1086.15
29.2,0.004,1086.95
29.3,0.004,1087.75
29.4,0.004,1088.54
29.5,0.004,1089.33
29.6,0.004,1090.12
29.7,0.004,1090.9
29.8,0.004,1091.68
29.9,0.004,1092.45
30,0.004,1093.23
30.1,0.004,1094
30.2,0.004,1094.76
30.3,0.004,1095.52
30.4,0.004,1096.28
30.5,0.004,1097.04
30.6,0.004,1097.79
30.7,0.004,1098.54
30.8,0.004,1099.29
30.9,0.004,1100.03
31,0.004,1100.77
31.1,0.004,1101.51
31.2,0.004,1102.24
31.3,0.004,1102.98
31.4,0.004,1103.7
31.5,0.004,1104.43
31.6,0.004,1105.15
31.7,0.004,1105.87
31.8,0.004,1106.59
31.9,0.004,1107.3
32,0.004,1108.01
32.1,0.004,1108.72
32.2,0.004,1109.42
32.3,0.004,1110.12
32.4,0.004,1110.82
32.5,0.004,1111.52
32.6,0.004,1112.21
32.7,0.004,1112.9
32.8,0.004,1113.59
32.9,0.004,1114.27
33,0.004,1114.95
33.1,0.004,1115.63
33.2,0.004,1116.31
33.3,0.004,1116.98
33.4,0.004,1117.66
33.5,0.004,1118.33
33.6,0.004,1118.99
33.7,0.004,1119.65
33.8,0.004,1120.32
33.9,0.004,1120.97
34,0.004,1121.63
34.1,0.004,1122.28
34.2,0.004,1122.93
34.3,0.004,1123.58
34.4,0.004,1124.23
34.5,0.004,1124.87
34.6,0.004,1125.51
34.7,0.004,1126.15
34.8,0.004,1126.79
34.9,0.004,1127.42
35,0.004,1128.05
35.1,0.004,1128.68
35.2,0.004,1129.31
35.3,0.004,1129.93
35.4,0.004,1130.55
35.5,0.004,1131.17
35.6,0.004,1131.79
35.7,0.004,1132.4
35.8,0.004,1133.02
35.9,0.004,1133.63
36,0.004,1134.23
36.1,0.004,1134.84
36.2,0.004,1135.44
36.3,0.004,1136.04
36.4,0.004,1136.64
36.5,0.004,1137.24
36.6,0.004,1137.84
36.7,0.004,1138.43
36.8,0.004,1139.02
36.9,0.004,1139.61
37,0.004,1140.19
37.1,0.004,1140.78
37.2,0.004,1141.36
37.3,0.004,1141.94
37.4,0.004,1142.52
37.5,0.004,1143.09
37.6,0.004,1143.67
37.7,0.004,1144.24
37.8,0.004,1144.81
37.9,0.004,1145.37
38,0.004,1145.94
38.1,0.004,1146.5
38.2,0.004,1147.07
38.3,0.004,1147.63
38.4,0.004,1148.18
38.5,0.004,1148.74
38.6,0.004,1149.29
38.7,0.004,1149.84
38.8,0.004,1150.39
38.9,0.004,1150.94
39,0.004,1151.49
39.1,0.004,1152.03
39.2,0.004,1152.58
39.3,0.004,1153.12
39.4,0.004,1153.65
39.5,0.004,1154.19
39.6,0.004,1154.73
39.7,0.004,1155.26
39.8,0.004,1155.79
39.9,0.004,1156.32
40,0.004,1156.85
40.1,0.004,1157.38
40.2,0.004,1157.9
40.3,0.004,1158.42
40.4,0.004,1158.94
40.5,0.004,1159.46
40.6,0.004,1159.98
40.7,0.004,1160.5
40.8,0.004,1161.01
40.9,0.004,1161.52
41,0.004,1162.03
41.1,0.004,1162.54
41.2,0.004,1163.05
41.3,0.004,1163.55
41.4,0.004,1164.06
41.5,0.004,1164.56
41.6,0.004,1165.06
41.7,0.004,1165.56
41.8,0.004,1166.06
41.9,0.004,1166.55
42,0.004,1167.05
42.1,0.004,1167.54
42.2,0.004,1168.03
42.3,0.004,1168.52
42.4,0.004,1169.01
42.5,0.004,1169.5
42.6,0.004,1169.98
42.7,0.004,1170.46
42.8,0.004,1170.94
42.9,0.004,1171.42
43,0.004,1171.9
43.1,0.004,1172.38
43.2,0.004,1172.86
43.3,0.004,1173.33
43.4,0.004,1173.8
43.5,0.004,1174.27
43.6,0.004,1174.74
43.7,0.004,1175.21
43.8,0.004,1175.68
43.9,0.004,1176.14
44,0.004,1176.61
44.1,0.004,1177.07
44.2,0.004,1177.53
44.3,0.004,1177.99
44.4,0.004,1178.45
44.5,0.004,1178.91
44.6,0.004,1179.36
44.7,0.004,1179.82
44.8,0.004,1180.27
44.9,0.004,1180.72
45,0.004,1181.17
45.1,0.004,1181.62
45.2,0.004,1182.07
45.3,0.004,1182.51
45.4,0.004,1182.96
45.5,0.004,1183.4
45.6,0.004,1183.84
45.7,0.004,1184.28
45.8,0.004,1184.72
45.9,0.004,1185.16
46,0.004,1185.6
46.1,0.004,1186.03
46.2,0.004,1186.46
46.3,0.004,1186.9
46.4,0.004,1187.33
46.5,0.004,1187.76
46.6,0.004,1188.19
46.7,0.004,1188.62
46.8,0.004,1189.04
46.9,0.004,1189.47
47,0.004,1189.89
47.1,0.004,1190.31
47.2,0.004,1190.74
47.3,0.004,1191.16
47.4,0.004,1191.57
47.5,0.004,1191.99
47.6,0.004,1192.41
47.7,0.004,1192.82
47.8,0.004,1193.24
47.9,0.004,1193.65
48,0.004,1194.06
48.1,0.004,1194.47
48.2,0.004,1194.88
48.3,0.004,1195.29
48.4,0.004,1195.7
48.5,0.004,1196.1
48.6,0.004,1196.51
48.7,0.004,1196.91
48.8,0.004,1197.32
48.9,0.004,1197.72
49,0.004,1198.12
49.1,0.004,1198.52
49.2,0.004,1198.91
49.3,0.004,1199.31
49.4,0.004,1199.71
49.5,0.004,1200.1
49.6,0.004,1200.5
49.7,0.004,1200.89
49.8,0.004,1201.28
49.9,0.004,1201.67
50,0.004,1202.06
50.1,0.004,1202.45
50.2,0.004,1202.84
50.3,0.004,1203.22
50.4,0.004,1203.61
50.5,0.004,1203.99
50.6,0.004,1204.38
50.7,0.004,1204.76
50.8,0.004,1205.14
50.9,0.004,1205.52
51,0.004,1205.9
51.1,0.004,1206.28
51.2,0.004,1206.66
51.3,0.004,1207.03
51.4,0.004,1207.41
51.5,0.004,1207.78
51.6,0.004,1208.16
51.7,0.004,1208.53
51.8,0.004,1208.9
51.9,0.004,1209.27
52,0.004,1209.64
52.1,0.004,1210.01
52.2,0.004,1210.38
52.3,0.004,1210.74
52.4,0.004,1211.11
52.5,0.004,1211.48
52.6,0.004,1211.84
52.7,0.004,1212.2
52.8,0.004,1212.57
52.9,0.004,1212.93
53,0.004,1213.29
53.1,0.004,1213.65
53.2,0.004,1214.01
53.3,0.004,1214.36
53.4,0.004,1214.72
53.5,0.004,1215.08
53.6,0.004,1215.43
53.7,0.004,1215.79
53.8,0.004,1216.14
53.9,0.004,1216.49
54,0.004,1216.84
54.1,0.004,1217.19
54.2,0.004,1217.54
54.3,0.004,1217.89
54.4,0.004,1218.24
54.5,0.004,1218.59
54.6,0.004,1218.93
54.7,0.004,1219.28
54.8,0.004,1219.63
54.9,0.004,1219.97
55,0.004,1220.31
55.1,0.004,1220.65
55.2,0.004,1221
55.3,0.004,1221.34
55.4,0.004,1221.68
55.5,0.004,1222.02
55.6,0.004,1222.35
55.7,0.004,1222.69
55.8,0.004,1223.03
55.9,0.004,1223.36
56,0.004,1223.7
56.1,0.004,1224.03
56.2,0.004,1224.37
56.3,0.004,1224.7
56.4,0.004,1225.03
56.5,0.004,1225.36
56.6,0.004,1225.69
56.7,0.004,1226.02
56.8,0.004,1226.35
56.9,0.004,1226.68
57,0.004,1227
57.1,0.004,1227.33
57.2,0.004,1227.66
57.3,0.004,1227.98
57.4,0.004,1228.3
57.5,0.004,1228.63
57.6,0.004,1228.95
57.7,0.004,1229.27
57.8,0.004,1229.59
57.9,0.004,1229.91
58,0.004,1230.23
58.1,0.004,1230.55
58.2,0.004,1230.87
58.3,0.004,1231.19
58.4,0.004,1231.5
58.5,0.004,1231.82
58.6,0.004,1232.13
58.7,0.004,1232.45
58.8,0.004,1232.76
58.9,0.004,1233.08
59,0.004,1233.39
59.1,0.004,1233.7
59.2,0.004,1234.01
59.3,0.004,1234.32
59.4,0.004,1234.63
59.5,0.004,1234.94
59.6,0.004,1235.25
59.7,0.004,1235.55
59.8,0.004,1235.86
59.9,0.004,1236.17
60,0.004,1236.47
