time,Twall,T1,P0,mdot,rho_ue_CH,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,L_nr,eps_surf,k_surf,iter,converged,resid_pct,mdot_g,mdot_c,T_24mm
0.01,601.288,499.391,101325,5.08841e-11,0.03,0.0119397,0.000119397,49.9999,1.69677e-09,0.0875574,15.0515,0.8,0.403178,17,1,-0.1437,0,0,300
0.2,2871.72,2762.2,101325,0.074685,0.264205,0.244316,0.0302502,49.9697,0.248951,0.179165,105.869,0.895269,1.51608,19,1,-20.4871,-0.162582,0.0530525,300
0.4,3021.5,2951.8,101325,0.0468203,0.277199,0.269131,0.082418,49.9176,0.156068,0.197363,111.86,0.897206,1.78421,17,1,-16.197,-0.114131,0.0590922,300
0.6,3084.79,3029.37,101325,0.0364921,0.282124,0.274875,0.136951,49.863,0.121641,0.201575,114.391,0.897842,1.89573,16,1,-14.7863,-0.094619,0.060434,300
0.8,3121.81,3074.27,101325,0.030758,0.284884,0.277317,0.192209,49.8078,0.102527,0.203365,115.872,0.898178,1.95986,15,1,-14.0495,-0.0831606,0.0609906,300
1,3147.19,3104.77,101325,0.0270028,0.286701,0.278236,0.247788,49.7522,0.0900096,0.204039,116.887,0.898393,2.0033,14,1,-13.5841,-0.0753654,0.0612061,300
1.2,3165.87,3127.15,101325,0.0243159,0.288006,0.278741,0.303492,49.6965,0.0810532,0.20441,117.635,0.898544,2.03514,14,1,-13.263,-0.0696011,0.0613188,300
1.4,3180.28,3144.38,101325,0.0222751,0.289,0.279057,0.359273,49.6407,0.0742504,0.204642,118.211,0.898658,2.05962,14,1,-13.0247,-0.0651124,0.061389,300
1.6,3191.84,3158.17,101325,0.0206614,0.289788,0.279226,0.41511,49.5849,0.0688717,0.204765,118.673,0.898747,2.07916,13,1,-12.8379,-0.0614844,0.0614311,300
1.8,3201.65,3169.8,101325,0.0193432,0.290432,0.279107,0.470941,49.5291,0.0644773,0.204679,119.066,0.89882,2.0957,14,1,-12.6904,-0.0584667,0.0614038,300
2,3209.88,3179.57,101325,0.0182448,0.29097,0.279065,0.526759,49.4732,0.0608162,0.204648,119.395,0.89888,2.10957,13,1,-12.5669,-0.0559118,0.061395,300
2.2,3216.95,3187.95,101325,0.0173117,0.291427,0.278996,0.582565,49.4174,0.0577057,0.204597,119.678,0.898931,2.12145,13,1,-12.4645,-0.0537086,0.06138,300
2.4,3223.11,3195.24,101325,0.0165063,0.291823,0.27891,0.638355,49.3616,0.0550212,0.204534,119.924,0.898975,2.13179,13,1,-12.377,-0.0517813,0.0613611,300
2.6,3228.49,3201.62,101325,0.0158025,0.292168,0.278877,0.694132,49.3059,0.052675,0.20451,120.14,0.899013,2.14083,13,1,-12.3014,-0.0500776,0.061353,300
2.8,3233.24,3207.25,101325,0.0151813,0.292473,0.278861,0.749906,49.2501,0.0506045,0.204498,120.33,0.899047,2.14881,13,1,-12.2352,-0.0485568,0.0613496,300
3,3237.51,3212.3,101325,0.014628,0.292745,0.278834,0.805675,49.1943,0.0487601,0.204478,120.5,0.899077,2.15597,13,1,-12.1766,-0.0471879,0.0613439,300
3.2,3241.35,3216.86,101325,0.0141304,0.29299,0.278799,0.861438,49.1386,0.0471015,0.204453,120.654,0.899104,2.16241,13,1,-12.1242,-0.0459462,0.0613362,300
3.4,3244.84,3221,101325,0.013681,0.293212,0.278759,0.917194,49.0828,0.0456033,0.204424,120.794,0.899128,2.16826,13,1,-12.0772,-0.0448149,0.0613275,300
3.6,3248.04,3224.78,101325,0.0132723,0.293413,0.278717,0.972942,49.0271,0.044241,0.204392,120.921,0.89915,2.17361,13,1,-12.0347,-0.043778,0.0613182,300
3.8,3250.95,3228.23,101325,0.0128988,0.293597,0.278693,1.02868,48.9713,0.042996,0.204375,121.038,0.89917,2.1785,13,1,-11.9962,-0.042822,0.0613122,300
4,3253.62,3231.39,101325,0.0125559,0.293766,0.278703,1.08442,48.9156,0.041853,0.204382,121.145,0.899189,2.18296,13,1,-11.961,-0.0419387,0.0613146,300
4.2,3256.08,3234.32,101325,0.0122391,0.293922,0.278708,1.14016,48.8598,0.0407972,0.204386,121.243,0.899206,2.18709,13,1,-11.9286,-0.0411183,0.0613158,300
4.4,3258.38,3237.04,101325,0.0119465,0.294066,0.278692,1.1959,48.8041,0.0398216,0.204374,121.335,0.899222,2.19093,13,1,-11.8986,-0.0403545,0.0613134,300
4.6,3260.61,3239.66,101325,0.0116739,0.294201,0.278607,1.25163,48.7484,0.0389131,0.204312,121.424,0.899236,2.19464,13,1,-11.8708,-0.0396397,0.0612944,300
4.8,3262.69,3242.12,101325,0.01142,0.294326,0.278525,1.30735,48.6927,0.0380666,0.204252,121.508,0.89925,2.19812,12,1,-11.8438,-0.0389704,0.0612766,300
5,3264.64,3244.42,101325,0.0111829,0.294443,0.278448,1.36304,48.637,0.0372763,0.204195,121.586,0.899263,2.20138,12,1,-11.8199,-0.0383417,0.0612593,300
5.2,3266.48,3246.59,101325,0.0109608,0.294553,0.278374,1.41872,48.5813,0.036536,0.204141,121.659,0.899275,2.20445,12,1,-11.7976,-0.0377499,0.0612431,300
5.4,3268.22,3248.63,101325,0.0107519,0.294656,0.278302,1.47439,48.5256,0.0358398,0.204088,121.729,0.899286,2.20734,12,1,-11.7768,-0.0371912,0.0612273,300
5.6,3269.85,3250.56,101325,0.0105557,0.294753,0.278235,1.53004,48.47,0.0351856,0.204039,121.794,0.899297,2.21007,12,1,-11.7573,-0.0366629,0.0612123,300
