# Bg   Tw[K]   Bc[-]   Hw[J/kg]
#

0.00000    250.00    0.087426     -2680990.00
0.00000    275.00    0.087426     -2656730.00
0.00000    300.00    0.087426     -2632260.00
0.00000    325.00    0.087426     -2607600.00
0.00000    350.00    0.087426     -2582750.00
0.00000    375.00    0.087426     -2557700.00
0.00000    400.00    0.087426     -2532470.00
0.00000    425.00    0.087426     -2507040.00
0.00000    450.00    0.087427     -2481430.00
0.00000    475.00    0.087427     -2455610.00
0.00000    500.00    0.087430     -2429580.00
0.00000    525.00    0.087437     -2403280.00
0.00000    550.00    0.087452     -2376660.00
0.00000    575.00    0.087485     -2349570.00
0.00000    600.00    0.087551     -2321750.00
0.00000    625.00    0.087676     -2292810.00
0.00000    650.00    0.087901     -2262120.00
0.00000    675.00    0.088284     -2228740.00
0.00000    700.00    0.088909     -2191370.00
0.00000    725.00    0.089890     -2148260.00
0.00000    750.00    0.091371     -2097190.00
0.00000    775.00    0.093526     -2035510.00
0.00000    800.00    0.096551     -1960340.00
0.00000    825.00    0.100641     -1868920.00
0.00000    850.00    0.105953     -1759250.00
0.00000    875.00    0.112549     -1630910.00
0.00000    900.00    0.120328     -1486130.00
0.00000    925.00    0.128958     -1330440.00
0.00000    950.00    0.137875     -1172450.00
0.00000    975.00    0.146382     -1022190.00
0.00000   1000.00    0.153842      -888216.00
0.00000   1025.00    0.159877      -775117.00
0.00000   1050.00    0.164435      -682979.00
0.00000   1075.00    0.167702      -608764.00
0.00000   1100.00    0.169966      -548285.00
0.00000   1125.00    0.171504      -497610.00
0.00000   1150.00    0.172541      -453632.00
0.00000   1175.00    0.173242      -414115.00
0.00000   1200.00    0.173717      -377536.00
0.00000   1225.00    0.174042      -342878.00
0.00000   1250.00    0.174267      -309475.00
0.00000   1275.00    0.174425      -276890.00
0.00000   1300.00    0.174536      -244834.00
0.00000   1325.00    0.174616      -213117.00
0.00000   1350.00    0.174673      -181612.00
0.00000   1375.00    0.174716      -150234.00
0.00000   1400.00    0.174747      -118925.00
0.00000   1425.00    0.174770       -87647.40
0.00000   1450.00    0.174788       -56373.60
0.00000   1475.00    0.174801       -25085.60
0.00000   1500.00    0.174811         6228.85
0.00000   1525.00    0.174819        37578.10
0.00000   1550.00    0.174826        68967.80
0.00000   1575.00    0.174831       100401.00
0.00000   1600.00    0.174834       131881.00
0.00000   1625.00    0.174838       163408.00
0.00000   1650.00    0.174840       194983.00
0.00000   1675.00    0.174842       226606.00
0.00000   1700.00    0.174844       258276.00
0.00000   1725.00    0.174845       289993.00
0.00000   1750.00    0.174846       321756.00
0.00000   1775.00    0.174847       353565.00
0.00000   1800.00    0.174848       385418.00
0.00000   1825.00    0.174848       417315.00
0.00000   1850.00    0.174849       449253.00
0.00000   1875.00    0.174849       481234.00
0.00000   1900.00    0.174850       513254.00
0.00000   1925.00    0.174850       545315.00
0.00000   1950.00    0.174850       577413.00
0.00000   1975.00    0.174851       609550.00
0.00000   2000.00    0.174851       641723.00
0.00000   2025.00    0.174851       673933.00
0.00000   2050.00    0.174852       706178.00
0.00000   2075.00    0.174852       738457.00
0.00000   2100.00    0.174852       770772.00
0.00000   2125.00    0.174853       803120.00
0.00000   2150.00    0.174853       835502.00
0.00000   2175.00    0.174854       867918.00
0.00000   2200.00    0.174854       900369.00
0.00000   2225.00    0.174855       932853.00
0.00000   2250.00    0.174856       965373.00
0.00000   2275.00    0.174858       997930.00
0.00000   2300.00    0.174859      1030520.00
0.00000   2325.00    0.174861      1063160.00
0.00000   2350.00    0.174864      1095830.00
0.00000   2375.00    0.174867      1128550.00
0.00000   2400.00    0.174871      1161320.00
0.00000   2425.00    0.174876      1194150.00
0.00000   2450.00    0.174882      1227030.00
0.00000   2475.00    0.174889      1259970.00
0.00000   2500.00    0.174898      1292990.00
0.00000   2525.00    0.174909      1326100.00
0.00000   2550.00    0.174922      1359290.00
0.00000   2575.00    0.174937      1392590.00
0.00000   2600.00    0.174956      1426020.00
0.00000   2625.00    0.174978      1459580.00
0.00000   2650.00    0.175005      1493310.00
0.00000   2675.00    0.175038      1527220.00
0.00000   2700.00    0.175076      1561340.00
0.00000   2725.00    0.175122      1595720.00
0.00000   2750.00    0.175177      1630390.00
0.00000   2775.00    0.175242      1665390.00
0.00000   2800.00    0.175320      1700800.00
0.00000   2825.00    0.175413      1736660.00
0.00000   2850.00    0.175523      1773070.00
0.00000   2875.00    0.175654      1810110.00
0.00000   2900.00    0.175811      1847900.00
0.00000   2925.00    0.175998      1886570.00
0.00000   2950.00    0.176221      1926270.00
0.00000   2975.00    0.176487      1967200.00
0.00000   3000.00    0.176805      2009570.00
0.00000   3025.00    0.177185      2053640.00
0.00000   3050.00    0.177641      2099740.00
0.00000   3075.00    0.178186      2148220.00
0.00000   3100.00    0.178839      2199550.00
0.00000   3125.00    0.179622      2254240.00
0.00000   3150.00    0.180562      2312920.00
0.00000   3175.00    0.181690      2376340.00
0.00000   3200.00    0.183044      2445370.00
0.00000   3225.00    0.184672      2521060.00
0.00000   3250.00    0.186627      2604640.00
0.00000   3275.00    0.188976      2697570.00
0.00000   3300.00    0.191800      2801560.00
0.00000   3325.00    0.195194      2918620.00
0.00000   3350.00    0.199275      3051100.00
0.00000   3375.00    0.204183      3201760.00
0.00000   3400.00    0.210086      3373800.00
0.00000   3425.00    0.217190      3570960.00
0.00000   3450.00    0.225743      3797540.00
0.00000   3475.00    0.236051      4058510.00
0.00000   3500.00    0.248488      4359570.00
0.00000   3525.00    0.263516      4707200.00
0.00000   3550.00    0.281712      5108760.00
0.00000   3575.00    0.303803      5572560.00
0.00000   3600.00    0.330714      6107810.00
0.00000   3625.00    0.363639      6724740.00
0.00000   3650.00    0.404148      7434480.00
0.00000   3675.00    0.454337      8248990.00
0.00000   3700.00    0.517074      9180890.00
0.00000   3725.00    0.596389     10243200.00
0.00000   3750.00    0.698125     11448700.00
0.00000   3775.00    0.831090     12809800.00
0.00000   3800.00    1.009210     14337200.00
0.00000   3825.00    1.255860     16039000.00
0.00000   3850.00    1.613510     17919300.00
0.00000   3875.00    2.168140     19976200.00
0.00000   3900.00    3.123340     22198100.00
0.00000   3925.00    5.102550     24557500.00
0.00000   3950.00   11.318600     26990400.00
0.00000   3975.00   11.318600     26990400.00
0.00000   4000.00   11.318600     26990400.00

0.02000    250.00    0.072146     -2809640.00
0.02000    275.00    0.072159     -2784770.00
0.02000    300.00    0.072180     -2759680.00
0.02000    325.00    0.072209     -2734370.00
0.02000    350.00    0.072247     -2708860.00
0.02000    375.00    0.072293     -2683120.00
0.02000    400.00    0.072349     -2657160.00
0.02000    425.00    0.072415     -2630960.00
0.02000    450.00    0.072492     -2604480.00
0.02000    475.00    0.072584     -2577690.00
0.02000    500.00    0.072695     -2550520.00
0.02000    525.00    0.072832     -2522850.00
0.02000    550.00    0.073005     -2494540.00
0.02000    575.00    0.073228     -2465370.00
0.02000    600.00    0.073522     -2435010.00
0.02000    625.00    0.073916     -2402990.00
0.02000    650.00    0.074452     -2368670.00
0.02000    675.00    0.075188     -2331090.00
0.02000    700.00    0.076206     -2288990.00
0.02000    725.00    0.077614     -2240680.00
0.02000    750.00    0.079554     -2184000.00
0.02000    775.00    0.082195     -2116360.00
0.02000    800.00    0.085732     -2034930.00
0.02000    825.00    0.090359     -1936980.00
0.02000    850.00    0.096236     -1820490.00
0.02000    875.00    0.103426     -1685110.00
0.02000    900.00    0.111821     -1533130.00
0.02000    925.00    0.121080     -1370230.00
0.02000    950.00    0.130617     -1205250.00
0.02000    975.00    0.139707     -1048460.00
0.02000   1000.00    0.147686      -908645.00
0.02000   1025.00    0.154159      -790527.00
0.02000   1050.00    0.159065      -694218.00
0.02000   1075.00    0.162600      -616607.00
0.02000   1100.00    0.165061      -553383.00
0.02000   1125.00    0.166744      -500470.00
0.02000   1150.00    0.167886      -454633.00
0.02000   1175.00    0.168662      -413536.00
0.02000   1200.00    0.169193      -375572.00
0.02000   1225.00    0.169559      -339670.00
0.02000   1250.00    0.169815      -305120.00
0.02000   1275.00    0.169997      -271454.00
0.02000   1300.00    0.170128      -238362.00
0.02000   1325.00    0.170224      -205636.00
0.02000   1350.00    0.170296      -173139.00
0.02000   1375.00    0.170352      -140776.00
0.02000   1400.00    0.170396      -108482.00
0.02000   1425.00    0.170433       -76211.30
0.02000   1450.00    0.170465       -43932.60
0.02000   1475.00    0.170494       -11622.80
0.02000   1500.00    0.170521        20734.80
0.02000   1525.00    0.170548        53152.90
0.02000   1550.00    0.170575        85641.20
0.02000   1575.00    0.170604       118208.00
0.02000   1600.00    0.170634       150859.00
0.02000   1625.00    0.170667       183601.00
0.02000   1650.00    0.170703       216438.00
0.02000   1675.00    0.170742       249377.00
0.02000   1700.00    0.170785       282422.00
0.02000   1725.00    0.170832       315578.00
0.02000   1750.00    0.170884       348850.00
0.02000   1775.00    0.170941       382244.00
0.02000   1800.00    0.171004       415767.00
0.02000   1825.00    0.171072       449423.00
0.02000   1850.00    0.171147       483220.00
0.02000   1875.00    0.171228       517164.00
0.02000   1900.00    0.171317       551263.00
0.02000   1925.00    0.171413       585525.00
0.02000   1950.00    0.171516       619957.00
0.02000   1975.00    0.171628       654569.00
0.02000   2000.00    0.171749       689369.00
0.02000   2025.00    0.171878       724367.00
0.02000   2050.00    0.172017       759573.00
0.02000   2075.00    0.172165       794997.00
0.02000   2100.00    0.172323       830649.00
0.02000   2125.00    0.172491       866539.00
0.02000   2150.00    0.172670       902680.00
0.02000   2175.00    0.172859       939082.00
0.02000   2200.00    0.173058       975757.00
0.02000   2225.00    0.173268      1012710.00
0.02000   2250.00    0.173490      1049970.00
0.02000   2275.00    0.173722      1087530.00
0.02000   2300.00    0.173965      1125410.00
0.02000   2325.00    0.174219      1163610.00
0.02000   2350.00    0.174484      1202160.00
0.02000   2375.00    0.174759      1241060.00
0.02000   2400.00    0.175045      1280310.00
0.02000   2425.00    0.175341      1319940.00
0.02000   2450.00    0.175647      1359940.00
0.02000   2475.00    0.175963      1400330.00
0.02000   2500.00    0.176287      1441120.00
0.02000   2525.00    0.176620      1482310.00
0.02000   2550.00    0.176962      1523920.00
0.02000   2575.00    0.177311      1565940.00
0.02000   2600.00    0.177667      1608390.00
0.02000   2625.00    0.178030      1651270.00
0.02000   2650.00    0.178400      1694600.00
0.02000   2675.00    0.178776      1738390.00
0.02000   2700.00    0.179157      1782640.00
0.02000   2725.00    0.179545      1827370.00
0.02000   2750.00    0.179939      1872610.00
0.02000   2775.00    0.180339      1918380.00
0.02000   2800.00    0.180747      1964710.00
0.02000   2825.00    0.181163      2011640.00
0.02000   2850.00    0.181590      2059230.00
0.02000   2875.00    0.182030      2107530.00
0.02000   2900.00    0.182485      2156640.00
0.02000   2925.00    0.182961      2206650.00
0.02000   2950.00    0.183462      2257690.00
0.02000   2975.00    0.183995      2309930.00
0.02000   3000.00    0.184570      2363550.00
0.02000   3025.00    0.185195      2418810.00
0.02000   3050.00    0.185885      2475980.00
0.02000   3075.00    0.186654      2535420.00
0.02000   3100.00    0.187523      2597560.00
0.02000   3125.00    0.188513      2662920.00
0.02000   3150.00    0.189655      2732110.00
0.02000   3175.00    0.190981      2805880.00
0.02000   3200.00    0.192532      2885090.00
0.02000   3225.00    0.194359      2970810.00
0.02000   3250.00    0.196520      3064270.00
0.02000   3275.00    0.199086      3166940.00
0.02000   3300.00    0.202144      3280540.00
0.02000   3325.00    0.205796      3407120.00
0.02000   3350.00    0.210167      3549060.00
0.02000   3375.00    0.215405      3709130.00
0.02000   3400.00    0.221692      3890570.00
0.02000   3425.00    0.229245      4097140.00
0.02000   3450.00    0.238331      4333170.00
