Average elemental composition of the pyrolysis gases;;;;;;;;;;;;;;;;;;
;mole fraction;;(the initial molecular composition is given in the finite-rate chemistry sheet);;;;;;;;;;;;;;;
C;0.206;;;;;;;;;;;;;;;;;
H;0.679;;;;;;;;;;;;;;;;;
O;0.115;;;;;;;;;;;;;;;;;
total;1;;;;;;;;;;;;;;;;;
"[from table 1 of DECOMPOSITION CHARACTERISTICS OF A CHAR-FORMING PHENOLIC POLYMER USED FOR ABLATIVE COMPOSITES; George F. Sykes;  NASA TN D 3810; 1967.]";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Decomposition kinetics (Model of Goldstein, 1965);;;;;;;;;;;;;;;;;;
Assumes the presence of two phases in the matrix (A and B) with two degradation reactions;;;;;;;;;;;;;;;;;;
The carbon-fiber density ( C ) is given for the CMA formulation;;;;;;;;;;;;;;;;;;
d(rho_i)/dt = - A_i * rho_i_v * ((rho_i-rho_i_c)/rho_i_v)^psi_i * exp(-Ei/(R*T))  for T >T_reac, 0 otherwise;;;;;;;;;;;;;;;;;;
SI units;;;;;;;;;;;;;;;;;;
Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(kg/m³);(kg/m³);sec-1;(K);(---);(K);;;;;;;;;;;;
A;3.000E+02;0.000E+00;1.200E+04;8.556E+03;3.000E+00;3.333E+02;;;;;;;;;;;;
B;9.000E+02;6.000E+02;4.480E+09;2.044E+04;3.000E+00;5.556E+02;;;;;;;;;;;;
C;1.600E+03;1.600E+03;0.000E+00;0.000E+00;0.000E+00;5.556E+03;The carbon fibers do not pyrolyse;;;;;;;;;;;
British units;;;;;;;;;;;;;;;;;;
Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(lb/ft^3);(lb/ft^3);sec-1;(deg R);(---);(in R);;;;;;;;;;;;
A;1.873E+01;0.000E+00;1.200E+04;1.540E+04;3.000E+00;6.000E+02;;;;;;;;;;;;
B;5.619E+01;3.746E+01;4.480E+09;3.680E+04;3.000E+00;1.000E+03;;;;;;;;;;;;
C;9.988E+01;9.988E+01;0.00E+00;0.00;0.00;1.000E+04;The carbon fibers do not pyrolyse;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Note for CMA/FIAT;;Resin volume fraction = 0.5 (Gamma in CMA);;;;;rho = (1-phi) [gamma (rho_A + rho_B) - (1-gamma) rho_c];;;;;;;;;;;
users;;Composite porosity = 0.8 (phi in CMA);;;;;!!! phi must be used if non-zero (even if not shown in the publications);;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Overall density (inferred from composition and microstructure);;;;;;;;;;;;;;;;;;
virgin;rho_v = eps_f * rho_f + eps_m *rho_m + eps_gas * rho_g = 0.1 * 1600 + 0.1 * 1200 + o(1) = 280 kg/m³;;;;;;;;;;;;;;;;;
char;rho_c = eps_f * rho_f + eps_m_c * rho_m_c + eps_gas * rho_g = 0.1 * 1600 + 0.05 * 1200 + o(1) = 220 kg/m³;;;;;;;;;;;;;;;;;
hyp: intrinsic densities of virgin and charred matrix are equal (only volume loss due to shrinkage during the pyrolysis);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Pyrolysis gas properties at 0.01, 0.1, 1.0 atm, assuming chemical equilibrium of the gas (no condensed species in the mixture);;;;;;;;;;;;;;;;;;
TARGET [1] output (CEA units);;;;SI units;;;;;;;;;British units;;;;;
[1] Bianchi, D., A CEA-based Chemical Equilibrium Solver for Gas/Surface Thermochemistry and Thermochemical Tables Generation,;;;;;;;;;;;;;;;;;;
Centro Ricerca Aerospaziale Sapienza (CRAS), Contract Reference no. CRAS-TTG-1001, Sapienza University of Rome, 2013.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
P = 0.01 atm.;;;;;;;;;;;;;;;;;;
;T (K);M (kg/kmol);Cp (kJ/kg K);Gamma;h (kJ/kg);Mu (millipoise);rho (kg/m^3);;;;;T (R );Cp (Btu/lb R);h (Btu/lb);;;;
;2.000E+02;2.200E+01;1.512E+00;1.333E+00;-7.247E+03;8.688E-02;1.340E-02;;;;;3.600E+02;3.611E-01;-3.115E+03;;;;
;2.250E+02;2.200E+01;1.534E+00;1.327E+00;-7.208E+03;9.666E-02;1.191E-02;;;;;4.050E+02;3.663E-01;-3.099E+03;;;;
;2.500E+02;2.200E+01;1.560E+00;1.320E+00;-7.170E+03;1.065E-01;1.072E-02;;;;;4.500E+02;3.726E-01;-3.082E+03;;;;
;2.750E+02;2.200E+01;1.593E+00;1.311E+00;-7.130E+03;1.162E-01;9.747E-03;;;;;4.950E+02;3.806E-01;-3.066E+03;;;;
;3.000E+02;2.200E+01;1.635E+00;1.301E+00;-7.090E+03;1.257E-01;8.935E-03;;;;;5.400E+02;3.906E-01;-3.048E+03;;;;
;3.250E+02;2.199E+01;1.690E+00;1.289E+00;-7.049E+03;1.351E-01;8.247E-03;;;;;5.850E+02;4.036E-01;-3.030E+03;;;;
;3.500E+02;2.199E+01;1.764E+00;1.275E+00;-7.005E+03;1.444E-01;7.657E-03;;;;;6.300E+02;4.213E-01;-3.012E+03;;;;
;3.750E+02;2.198E+01;1.870E+00;1.259E+00;-6.960E+03;1.535E-01;7.143E-03;;;;;6.750E+02;4.466E-01;-2.992E+03;;;;
;4.000E+02;2.196E+01;2.027E+00;1.240E+00;-6.912E+03;1.624E-01;6.690E-03;;;;;7.200E+02;4.842E-01;-2.971E+03;;;;
;4.250E+02;2.192E+01;2.260E+00;1.220E+00;-6.858E+03;1.712E-01;6.286E-03;;;;;7.650E+02;5.397E-01;-2.948E+03;;;;
;4.500E+02;2.185E+01;2.593E+00;1.199E+00;-6.798E+03;1.799E-01;5.918E-03;;;;;8.100E+02;6.193E-01;-2.922E+03;;;;
;4.750E+02;2.174E+01;3.047E+00;1.180E+00;-6.727E+03;1.886E-01;5.577E-03;;;;;8.550E+02;7.277E-01;-2.892E+03;;;;
;5.000E+02;2.157E+01;3.632E+00;1.163E+00;-6.644E+03;1.972E-01;5.257E-03;;;;;9.000E+02;8.676E-01;-2.856E+03;;;;
;5.250E+02;2.134E+01;4.374E+00;1.149E+00;-6.545E+03;2.058E-01;4.953E-03;;;;;9.450E+02;1.045E+00;-2.814E+03;;;;
;5.500E+02;2.103E+01;5.399E+00;1.135E+00;-6.423E+03;2.144E-01;4.660E-03;;;;;9.900E+02;1.290E+00;-2.761E+03;;;;
;5.750E+02;2.063E+01;7.101E+00;1.120E+00;-6.269E+03;2.229E-01;4.373E-03;;;;;1.035E+03;1.696E+00;-2.695E+03;;;;
;6.000E+02;2.008E+01;1.013E+01;1.106E+00;-6.057E+03;2.318E-01;4.078E-03;;;;;1.080E+03;2.420E+00;-2.604E+03;;;;
;6.250E+02;1.929E+01;1.483E+01;1.098E+00;-5.748E+03;2.411E-01;3.762E-03;;;;;1.125E+03;3.541E+00;-2.471E+03;;;;
;6.500E+02;1.823E+01;2.059E+01;1.095E+00;-5.307E+03;2.511E-01;3.418E-03;;;;;1.170E+03;4.918E+00;-2.281E+03;;;;
