time,Twall,T1,P0,mdot,heff,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,L_nr,eps_surf,k_surf,iter
0.1,1431.25,1286.67,101325,1.5785e-12,200,0.0222334,0.00222334,49.9978,7.52095e-11,0.174774,48.2499,0.8,0.403,40
2,1524.85,1496.44,101325,0.024354,92.4217,0,0.00293833,49.9971,2.99923,0,51.9941,0.894656,0.580259,14
4,1885.03,1856.18,101325,0.0181109,162.45,0.0156758,0.0122645,49.9877,0.495454,0.0707576,66.4011,0.897595,0.695744,31
6,1974.81,1951.9,101325,0.0128528,174.633,0.0290076,0.0605826,49.9394,0.303947,0.113185,69.9923,0.898415,0.742768,19
8,2014.11,1994.69,101325,0.0103786,179.429,0.0338134,0.124125,49.8759,0.237752,0.127805,71.5642,0.898747,0.771732,16
10,2038,2020.79,101325,0.00890867,182.3,0.0366671,0.194954,49.805,0.200287,0.136015,72.5199,0.898933,0.78924,14
12,2054.41,2038.76,101325,0.00791356,184.252,0.0385902,0.270417,49.7296,0.175679,0.14135,73.1766,0.899054,0.801202,13
14,2066.59,2052.11,101325,0.00718458,185.687,0.0399997,0.349145,49.6509,0.15803,0.145166,73.6638,0.89914,0.810085,12
16,2075.68,2062.14,101325,0.0066246,186.787,0.0410573,0.430321,49.5697,0.144746,0.148007,74.0271,0.899205,0.81675,7
18,2083.06,2070.26,101325,0.00617352,187.634,0.0417272,0.513162,49.4868,0.13465,0.150154,74.3223,0.899256,0.822064,7
20,2089.29,2077.13,101325,0.00580254,188.336,0.0422745,0.597208,49.4028,0.126378,0.151908,74.5716,0.899297,0.82659,7
22,2094.57,2082.95,101325,0.00549183,188.927,0.0427312,0.68225,49.3178,0.119469,0.153368,74.7828,0.899331,0.830425,7
24,2099.12,2087.97,101325,0.00522627,189.435,0.0431204,0.76813,49.2319,0.113578,0.15461,74.9646,0.899361,0.833724,7
26,2103.08,2092.35,101325,0.00499602,189.878,0.043458,0.854733,49.1453,0.108479,0.155685,75.1233,0.899386,0.836602,7
28,2106.58,2096.21,101325,0.00479404,190.268,0.0437537,0.941966,49.058,0.104014,0.156625,75.2632,0.899408,0.839141,7
30,2109.7,2099.65,101325,0.00461508,190.615,0.0440152,1.02975,48.9702,0.100063,0.157455,75.3878,0.899427,0.841401,7
32,2112.48,2102.73,101325,0.00445521,190.926,0.0442445,1.11803,48.882,0.0965385,0.158179,75.4993,0.899444,0.843424,7
34,2115,2105.52,101325,0.00431128,191.207,0.0444504,1.20674,48.7933,0.0933687,0.158829,75.6,0.89946,0.84525,7
36,2117.29,2108.06,101325,0.00418088,191.462,0.0446366,1.29584,48.7042,0.0905001,0.159416,75.6916,0.899474,0.846912,7
38,2119.39,2110.38,101325,0.00406204,191.695,0.044806,1.38529,48.6147,0.0878882,0.15995,75.7754,0.899486,0.848432,7
40,2121.31,2112.51,101325,0.00395321,191.908,0.0449609,1.47507,48.5249,0.0854984,0.160437,75.8524,0.899498,0.849828,7
42,2123.09,2114.48,101325,0.00385309,192.106,0.0451032,1.56514,48.4349,0.0833017,0.160884,75.9234,0.899508,0.851116,7
44,2124.73,2116.3,101325,0.00376061,192.288,0.0452345,1.65549,48.3445,0.0812739,0.161296,75.9893,0.899518,0.85231,7
46,2126.22,2117.96,101325,0.00367492,192.457,0.0453568,1.74609,48.2539,0.0793954,0.161678,76.0489,0.899527,0.853362,7
48,2127.65,2119.54,101325,0.00359504,192.615,0.0454703,1.83692,48.1631,0.0776464,0.162034,76.1059,0.899536,0.854397,7
50,2128.98,2121.02,101325,0.0035205,192.763,0.0455761,1.92797,48.072,0.0760152,0.162366,76.1594,0.899544,0.855367,7
52,2130.19,2122.37,101325,0.00345094,192.901,0.0456755,2.01923,47.9808,0.074493,0.162674,76.2076,0.899551,0.856301,6
54,2131.37,2123.68,101325,0.00338554,193.031,0.045768,2.11068,47.8893,0.0730634,0.162964,76.2546,0.899558,0.857154,6
56,2132.46,2124.9,101325,0.00332403,193.154,0.0458552,2.20231,47.7977,0.0717191,0.163237,76.2985,0.899564,0.857933,6
58,2133.5,2126.06,101325,0.00326605,193.269,0.0459372,2.29411,47.7059,0.0704528,0.163493,76.3401,0.89957,0.858685,6
60,2134.49,2127.16,101325,0.00321126,193.379,0.0460133,2.38606,47.6139,0.0692567,0.16373,76.3796,0.899576,0.859397,6
